Question No	Question	Options
22	When I get frightened, I sweat a lot	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
23	I am a worrier	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
24	I get really frightened for no reason at all	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
25	I am afraid to be alone in the house	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
26	It is hard for me to talk with people I don’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
27	When I get frightened, I feel like I am choking	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
28	People tell me that I worry too much	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
29	I don’t like to be away from my family	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
30	I am afraid of having anxiety (or panic) attacks	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
31	I worry that something bad might happen to my parents	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
32	I feel shy with people I don’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
33	I worry about what is going to happen in the future	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
34	When I get frightened, I feel like throwing up	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
35	I worry about how well I do things	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
36	I am scared to go to school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
37	I worry about things that have already happened	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
38	When I get frightened, I feel dizzy	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
39	I feel nervous when I am with other children or adults and I have to do something while they watch me (for example: read aloud, speak, play a game, play a sport)	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
40	I feel nervous when I am going to parties, dances, or any place where there will be people that I don’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
41	I am shy	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
1	When my child feels frightened, it is hard for him/her to breathe	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
2	My child gets headaches when he/she is at school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
3	My child doesn’t like to be with people he/she doesn’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
4	My child gets scared if he/she sleeps away from home	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
5	My child worries about other people liking him/her	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
6	When my child gets frightened, he/she feels like passing out	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
7	My child is nervous	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
8	My child follows me wherever I go	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
9	People tell me that my child looks nervous	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
10	My child feels nervous with people he/she doesn’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
11	My child gets stomachaches at school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
12	When my child gets frightened, he/she feels like he/she is going crazy	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
13	My child worries about sleeping alone	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
14	My child worries about being as good as other kids	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
15	When he/she gets frightened, he/she feels like things are not real	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
16	My child has nightmares about something bad happening to his/her parents	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
17	My child worries about going to school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
18	When my child gets frightened, his/her heart beats fast	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
19	He/she gets shaky	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
20	My child has nightmares about something bad happening to him/her	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
21	My child worries about things working out for him/her	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
22	When my child gets frightened, he/she sweats a lot	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
23	My child is a worrier	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
24	My child gets really frightened for no reason at all	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
25	My child is afraid to be alone in the house	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
26	It is hard for my child to talk with people he/she doesn’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
27	When my child gets frightened, he/she feels like he/she is choking	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
28	People tell me that my child worries too much	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
29	My child doesn’t like to be away from his/her family	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
30	My child is afraid of having anxiety (or panic) attacks	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
31	My child worries that something bad might happen to his/her parents	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
32	My child feels shy with people he/she doesn’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
33	My child worries about what is going to happen in the future	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
34	When my child gets frightened, he/she feels like throwing up	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
35	My child worries about how well he/she does things	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
36	My child is scared to go to school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
37	My child worries about things that have already happened	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
38	When my child gets frightened, he/she feels dizzy	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
39	My child feels nervous when he/she is with other children or adults and he/she has to do something while they watch him/her (for example: read aloud, speak, play a game, play a sport)	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
40	My child feels nervous when he/she is going to parties, dances, or any place where there will be people that he/she doesn’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
41	My child is shy	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
